monte~|~36475~|~v~|~~|~(that you) climb~|~
explicar~|~35134~|~v~|~~|~to explain~|~
lembrar~|~34262~|~v~|~~|~to remember~|~
lutar~|~33852~|~v~|~~|~to fight~|~
lutar~|~33852~|~v~|~~|~to struggle~|~
procurar~|~33438~|~v~|~~|~to try; to attempt~|~
procurar~|~33438~|~v~|~~|~to reach out (attempt to initiate communication)~|~
procurar~|~33438~|~v~|~~|~to search; to seek; to look for~|~
procurar~|~33438~|~v~|~~|~to work as a procurator (attorney or agent)~|~
ler~|~33114~|~v~|~~|~to read~|~
ler~|~33114~|~v~|~~|~to look at and interpret letters or other information that is written~|~
ler~|~33114~|~v~|~~|~to speak from a written book~|~
tocar~|~33005~|~v~|~~|~to play (a musical instrument)~|~
tocar~|~33005~|~v~|~~|~to touch~|~
luta~|~32812~|~v~|~~|~third-person singular indicative present of lutar~|~
haver~|~32301~|~v~|~~|~To have; to own; to possess~|~
haver~|~32301~|~v~|~~|~ought to;~|~
haver~|~32301~|~v~|~~|~have (auxiliary verb, used to form the perfect tense)~|~
haver~|~32301~|~v~|~~|~There be; to exist~|~
haver~|~32301~|~v~|~~|~to happen; to occur~|~
haver~|~32301~|~v~|~~|~to recover; to regain~|~
cair~|~30967~|~v~|~~|~to fall~|~
esquecer~|~30246~|~v~|~~|~to forget~|~
buscar~|~29619~|~v~|~~|~to fetch~|~
buscar~|~29619~|~v~|~~|~to pick up~|~
buscar~|~29619~|~v~|~~|~to search for~|~
bater~|~29133~|~v~|~~|~to beat~|~
bater~|~29133~|~v~|~~|~to clap~|~
bater~|~29133~|~v~|~~|~to coin (a word, etc.)~|~
bater~|~29133~|~v~|~~|~to scout (to explore a wide terrain)~|~
bater~|~29133~|~v~|~~|~to snap (a photo)~|~
escrever~|~29115~|~v~|~~|~to write (to form letters, etc.)~|~
encontramos~|~28669~|~v~|~~|~first-person plural indicative present of encontrar~|~
encontramos~|~28669~|~v~|~~|~we find~|~
fugir~|~28375~|~v~|~~|~to escape; to run away; to flee~|~
provar~|~28290~|~v~|~~|~to prove (to demonstrate that something is true; to give proof for)~|~
provar~|~28290~|~v~|~~|~to taste~|~
mandar~|~28073~|~v~|~~|~to order~|~
mandar~|~28073~|~v~|~~|~command~|~
mandar~|~28073~|~v~|~~|~to send~|~
gostar~|~28032~|~v~|~~|~to like~|~
correr~|~28016~|~v~|~~|~to drive fast~|~
correr~|~28016~|~v~|~~|~to speed~|~
correr~|~28016~|~v~|~~|~(rumors) to go around~|~
correr~|~28016~|~v~|~~|~(time) to elapse~|~
correr~|~28016~|~v~|~~|~to run (on foot)~|~
correr~|~28016~|~v~|~~|~to rush~|~
correr~|~28016~|~v~|~~|~(water) to flow~|~
proteger~|~27341~|~v~|~~|~to protect~|~
proteger~|~27341~|~v~|~~|~to support~|~
sentar~|~27271~|~v~|~~|~to sit~|~
sentar~|~27271~|~v~|~~|~to seat~|~
resolver~|~26588~|~v~|~~|~to decide to do something~|~
resolver~|~26588~|~v~|~~|~to annul (to formally revoke the validity of)~|~
resolver~|~26588~|~v~|~~|~to dissolve; to dissipate~|~
resolver~|~26588~|~v~|~~|~to solve (to find an answer or solution)~|~
dançar~|~26298~|~v~|~~|~to fail~|~
dançar~|~26298~|~v~|~~|~to be unsuccessful~|~
dançar~|~26298~|~v~|~~|~to dance~|~
dançar~|~26298~|~v~|~~|~to oscillate (particularly fire)~|~
lidar~|~25668~|~v~|~~|~to bullfight~|~
lidar~|~25668~|~v~|~~|~to deal with~|~
lidar~|~25668~|~v~|~~|~to fight~|~
confiar~|~25349~|~v~|~~|~to confide~|~
confiar~|~25349~|~v~|~~|~entrust~|~
confiar~|~25349~|~v~|~~|~to rely on~|~
aceitar~|~25112~|~v~|~~|~to accept~|~
aceitar~|~25112~|~v~|~~|~to receive~|~
receber~|~24443~|~v~|~~|~to receive (to detect a signal from a transmitter)~|~
receber~|~24443~|~v~|~~|~to be hit by something~|~
receber~|~24443~|~v~|~~|~to collect or receive payment~|~
receber~|~24443~|~v~|~~|~to get; to receive~|~
receber~|~24443~|~v~|~~|~to receive (to act as a host for guests)~|~
atirar~|~24107~|~v~|~~|~throw~|~
escolher~|~23958~|~v~|~~|~to choose~|~
perdido~|~23843~|~v~|~~|~past participle of perder~|~
preocupar~|~23696~|~v~|~~|~to worry~|~
preocupar~|~23696~|~v~|~~|~to concern~|~
tornar~|~23666~|~v~|~~|~to return; to come back~|~
roubar~|~21955~|~v~|~~|~to deprive someone or something of its qualities~|~
roubar~|~21955~|~v~|~~|~to seduce someone who is on another relationship~|~
roubar~|~21955~|~v~|~~|~to cheat (to violate rules in order to gain advantage from a situation)~|~
roubar~|~21955~|~v~|~~|~to steal (to take illegally or without permission)~|~
imaginar~|~21645~|~v~|~~|~to imagine (all senses)~|~
peço~|~21523~|~v~|~~|~Singular first person present tense of pedir~|~
criar~|~21508~|~v~|~~|~to breed animals or plants~|~
criar~|~21508~|~v~|~~|~to invent~|~
criar~|~21508~|~v~|~~|~to raise a child~|~
funcionar~|~21313~|~v~|~~|~to work; to function~|~
aparecer~|~21311~|~v~|~~|~to appear~|~
evitar~|~20616~|~v~|~~|~to avoid~|~
subir~|~20546~|~v~|~~|~to ascend~|~
subir~|~20546~|~v~|~~|~to go up~|~
subir~|~20546~|~v~|~~|~to climb~|~
brincar~|~20484~|~v~|~~|~play~|~
limpar~|~19901~|~v~|~~|~to remove all contents from a location or container~|~
limpar~|~19901~|~v~|~~|~to clean (to remove dirt from a place or object)~|~
limpar~|~19901~|~v~|~~|~to eviscerate and descale an animal for consumption~|~
cortar~|~19755~|~v~|~~|~to chop~|~
cortar~|~19755~|~v~|~~|~to cut~|~
destruir~|~19722~|~v~|~~|~to destroy~|~
havendo~|~19337~|~v~|~~|~gerund of haver~|~
dirigir~|~19234~|~v~|~~|~to direct a film~|~
responder~|~19104~|~v~|~~|~to answer; to reply (to give a written or spoken response)~|~
responder~|~19104~|~v~|~~|~to correspond to (to be equivalent to)~|~
responder~|~19104~|~v~|~~|~to counterattack~|~
pôr~|~18738~|~v~|~~|~to put~|~
agradecer~|~18482~|~v~|~~|~to be grateful for~|~
agradecer~|~18482~|~v~|~~|~to thank~|~
assistir~|~18403~|~v~|~~|~to assist~|~
assistir~|~18403~|~v~|~~|~to attend~|~
assistir~|~18403~|~v~|~~|~to watch or witness~|~
preparar~|~18353~|~v~|~~|~to plan~|~
preparar~|~18353~|~v~|~~|~to prepare (all senses)~|~
chorar~|~18284~|~v~|~~|~to cry; to weep~|~
dado~|~18197~|~v~|~~|~past participle of dar~|~
escapar~|~18054~|~v~|~~|~to escape (to get free)~|~
apresentar~|~18015~|~v~|~~|~to introduce~|~
apresentar~|~18015~|~v~|~~|~to present~|~
apresentar~|~18015~|~v~|~~|~to show~|~
virar~|~17887~|~v~|~~|~to become~|~
virar~|~17887~|~v~|~~|~To capsize~|~
virar~|~17887~|~v~|~~|~to turn or bend (around)~|~
virar~|~17887~|~v~|~~|~to upset or topple~|~
arrumar~|~17657~|~v~|~~|~to fix~|~
arrumar~|~17657~|~v~|~~|~to organise~|~
arrumar~|~17657~|~v~|~~|~to set up~|~
arrumar~|~17657~|~v~|~~|~to stow~|~
arrumar~|~17657~|~v~|~~|~guard~|~
arrumar~|~17657~|~v~|~~|~save~|~
arrumar~|~17657~|~v~|~~|~to tidy~|~
decidir~|~17651~|~v~|~~|~to decide~|~
decidir~|~17651~|~v~|~~|~to deliberate~|~
decidir~|~17651~|~v~|~~|~to determine~|~
decidir~|~17651~|~v~|~~|~to resolve~|~
levantar~|~17336~|~v~|~~|~to lift~|~
levantar~|~17336~|~v~|~~|~to retrieve (e.g. a document from a government office)~|~
discutir~|~17311~|~v~|~~|~to discuss~|~
vencer~|~17082~|~v~|~~|~to defeat~|~
vencer~|~17082~|~v~|~~|~to win~|~
vencer~|~17082~|~v~|~~|~to conquer~|~
vencer~|~17082~|~v~|~~|~to expire~|~
quebrar~|~16959~|~v~|~~|~to beat up (to give a severe beating to)~|~
quebrar~|~16959~|~v~|~~|~to break (collapse into surf)~|~
quebrar~|~16959~|~v~|~~|~to break down (to stop, or to cause to stop, functioning properly or altogether)~|~
quebrar~|~16959~|~v~|~~|~to break (to do that which is forbidden by a rule, promise, etc.)~|~
quebrar~|~16959~|~v~|~~|~to break (to end up or cause to end up in two or more pieces that cannot easily be reassembled)~|~
quebrar~|~16959~|~v~|~~|~to break (to ruin or be ruined financially)~|~
quebrar~|~16959~|~v~|~~|~to break (to set a new record)~|~
quebrar~|~16959~|~v~|~~|~to fracture a bone~|~
fechar~|~16922~|~v~|~~|~to close~|~
dever~|~16748~|~v~|~~|~ought (indicates that the subject of the sentence has some obligation to execute the sentence predicate.)~|~
dever~|~16748~|~v~|~~|~owe (to be in debt.)~|~
dever~|~16748~|~v~|~~|~should (indicates that an action is considered by the speaker to be obligatory)~|~
dever~|~16748~|~v~|~~|~will likely (indicates that the subject of the sentence is likely to execute the sentence predicate.)~|~
desistir~|~16734~|~v~|~~|~to desist~|~
desistir~|~16734~|~v~|~~|~to give up~|~
descansar~|~16459~|~v~|~~|~to rest~|~
livrar~|~16419~|~v~|~~|~to save~|~
sobreviver~|~16201~|~v~|~~|~keep going~|~
sobreviver~|~16201~|~v~|~~|~keep on~|~
sobreviver~|~16201~|~v~|~~|~outlive~|~
sobreviver~|~16201~|~v~|~~|~survive~|~
trocar~|~16031~|~v~|~~|~to change~|~
trocar~|~16031~|~v~|~~|~exchange~|~
controlar~|~15970~|~v~|~~|~to contain (to limit through restraint)~|~
controlar~|~15970~|~v~|~~|~to control (to determine the behaviour of)~|~
controlar~|~15970~|~v~|~~|~to govern (to exercise sovereign authority)~|~
controlar~|~15970~|~v~|~~|~to keep under control~|~
controlar~|~15970~|~v~|~~|~to limit (not to allow to go beyond a certain bound)~|~
obter~|~15903~|~v~|~~|~to obtain~|~
obter~|~15903~|~v~|~~|~get~|~
querendo~|~15803~|~v~|~~|~gerund of querer~|~
descer~|~15749~|~v~|~~|~to descend~|~
descer~|~15749~|~v~|~~|~to go down~|~
mentir~|~15734~|~v~|~~|~to lie (say something untrue)~|~
voar~|~15726~|~v~|~~|~to fly~|~
divertir~|~15125~|~v~|~~|~to dissuade (to convince not to try or do)~|~
divertir~|~15125~|~v~|~~|~to distract (to divert the attention of)~|~
divertir~|~15125~|~v~|~~|~to entertain~|~
divertir~|~15125~|~v~|~~|~to amuse~|~
morar~|~15095~|~v~|~~|~to live~|~
morar~|~15095~|~v~|~~|~reside (have permanent residence)~|~
enviar~|~15044~|~v~|~~|~to send~|~
visitar~|~14839~|~v~|~~|~to visit~|~
servir~|~14790~|~v~|~~|~to serve~|~
dão~|~14548~|~v~|~~|~third-person plural indicative present of dar~|~
juntar~|~14529~|~v~|~~|~to combine; to unite~|~
juntar~|~14529~|~v~|~~|~to gather; to collect~|~
verificar~|~14510~|~v~|~~|~to verify~|~
ensinar~|~14436~|~v~|~~|~to teach~|~
apaixonado~|~14353~|~v~|~~|~past participle of apaixonar~|~
consertar~|~14166~|~v~|~~|~to fix~|~
consertar~|~14166~|~v~|~~|~to repair~|~
demorar~|~14029~|~v~|~~|~to linger (to stay or remain in a place or situation)~|~
demorar~|~14029~|~v~|~~|~to take time (to require a comparatively long period of time)~|~
rir~|~13994~|~v~|~~|~to laugh~|~
tô~|~13876~|~v~|~~|~nonstandard spelling of estou~|~
construir~|~13870~|~v~|~~|~to build~|~
construir~|~13870~|~v~|~~|~to construct~|~
matando~|~13230~|~v~|~~|~gerund of matar~|~
crescer~|~13136~|~v~|~~|~to become more important within a group or context~|~
crescer~|~13136~|~v~|~~|~to grow (become bigger, older, or taller)~|~
crescer~|~13136~|~v~|~~|~to grow in number; to become more numerous~|~
atacar~|~13044~|~v~|~~|~to strike~|~
atacar~|~13044~|~v~|~~|~to attempt to score~|~
atacar~|~13044~|~v~|~~|~to attack (to aggressively challenge a person or idea)~|~
atacar~|~13044~|~v~|~~|~to attack (to apply violent force)~|~
atacar~|~13044~|~v~|~~|~to attack (to deal with something in a direct way)~|~
atacar~|~13044~|~v~|~~|~to eat voraciously~|~
admitir~|~13034~|~v~|~~|~to acknowledge~|~
admitir~|~13034~|~v~|~~|~to admit~|~
admitir~|~13034~|~v~|~~|~accept~|~
admitir~|~13034~|~v~|~~|~to allow~|~
admitir~|~13034~|~v~|~~|~to concede~|~
viajar~|~12930~|~v~|~~|~not to pay attention~|~
viajar~|~12930~|~v~|~~|~to travel~|~
oferecer~|~12914~|~v~|~~|~to give~|~
oferecer~|~12914~|~v~|~~|~present~|~
oferecer~|~12914~|~v~|~~|~to offer~|~
oferecer~|~12914~|~v~|~~|~bid~|~
oferecer~|~12914~|~v~|~~|~tender~|~
oferecer~|~12914~|~v~|~~|~to proffer~|~
impedir~|~12903~|~v~|~~|~to hinder~|~
impedir~|~12903~|~v~|~~|~block~|~
impedir~|~12903~|~v~|~~|~to impede~|~
impedir~|~12903~|~v~|~~|~stop~|~
impedir~|~12903~|~v~|~~|~to prevent~|~
perceber~|~12862~|~v~|~~|~to realize~|~
perceber~|~12862~|~v~|~~|~to notice~|~
perceber~|~12862~|~v~|~~|~to understand~|~
melhorar~|~12845~|~v~|~~|~to improve~|~
melhorar~|~12845~|~v~|~~|~to ameliorate~|~
gritar~|~12790~|~v~|~~|~to shout~|~
gritar~|~12790~|~v~|~~|~to scream~|~
avisar~|~12729~|~v~|~~|~to advise~|~
avisar~|~12729~|~v~|~~|~notify~|~
avisar~|~12729~|~v~|~~|~warn~|~
recuperar~|~12700~|~v~|~~|~to recover~|~
explodir~|~12561~|~v~|~~|~to explode (act violently)~|~
explodir~|~12561~|~v~|~~|~to explode (blow up)~|~
respirar~|~12429~|~v~|~~|~to breathe~|~
segurar~|~12353~|~v~|~~|~to hold back (to act with reserve; to contain one’s full measure or power)~|~
segurar~|~12353~|~v~|~~|~to hold back; to contain; to stop~|~
segurar~|~12353~|~v~|~~|~to hold; to grasp~|~
segurar~|~12353~|~v~|~~|~to insure (to provide for compensation if some specified risk occurs)~|~
segurar~|~12353~|~v~|~~|~to make safe~|~
ha~|~12261~|~v~|~~|~obsolete spelling of há~|~
fingir~|~12142~|~v~|~~|~to pretend (to act as though something is different from what it is)~|~
estudar~|~12077~|~v~|~~|~to study~|~
tratar~|~12039~|~v~|~~|~to address someone with a specific form of address~|~
tratar~|~12039~|~v~|~~|~to behave (To conduct oneself in a given way.)~|~
tratar~|~12039~|~v~|~~|~to feed (to give food to eat)~|~
